"","DyadType","FG1","FG2","FG3","FG4","FG5","FG6","BG1","BG2","BG3","BG4","BG5","C1","C2","C3","C4","C5","R1","R2","R3","R4","R5","CT1","CT2","CT3","CT4","CT5","CT6","S1","S2","S3","S4","S5","MODEL1","MODEL2","MODEL3","MODEL4","TRAIN1","TRAIN2","TRAIN4","GENDER","P_FG1","P_FG2","P_FG3","P_FG4","P_FG5","P_FG6","P_BG1","P_BG2","P_BG3","P_BG4","P_BG5","P_C1","P_C2","P_C3","P_C4","P_C5","P_R1","P_R2","P_R3","P_R4","P_R5","P_CT1","P_CT2","P_CT3","P_CT4","P_CT5","P_CT6","P_S1","P_S2","P_S3","P_S4","P_S5","GENDER2","child","parent","trainin"
"59","md",4,4,3,3,5,2,5,5,4,5,5,4,2,4,3,2,6,4,5,4,4,3,2,2,2,3,2,6,4,4,5,4,5,5,4,5,5,5,2,2,6,6,5,6,6,5,7,7,6,6,6,6,5,5,5,6,5,4,5,5,4,2,3,2,2,5,2,6,6,6,6,6,2,3.75,4.78125,6
"62","md",1,1,2,1,1,2,2,3,3,2,7,1,3,4,5,5,1,5,4,3,4,4,4,5,5,6,5,2,2,2,2,3,3,6,3,4,2,3,4,2,5,5,3,3,5,3,4,6,5,6,5,5,1,5,4,4,6,5,4,5,2,4,4,4,1,2,2,5,3,5,5,4,2,3.125,4,4.71428571428571
"63","fd",7,6,5,5,7,4,7,7,5,7,1,4,2,4,4,4,7,3,6,7,5,2,2,2,2,2,2,7,5,5,5,5,1,3,3,3,1,1,2,2,7,7,7,7,7,7,7,7,7,7,7,3,3,3,3,7,7,7,7,7,7,1,1,1,1,1,1,7,7,7,7,7,1,4.5625,4.6875,6.42857142857143
"64","fd",7,5,5,6,4,4,7,6,7,7,3,6,5,5,3,4,6,4,7,5,4,3,3,2,1,1,2,6,7,6,7,6,1,6,3,3,5,6,5,2,7,4,6,6,7,7,7,7,7,7,3,7,7,7,7,7,7,5,5,6,5,1,1,1,1,1,1,6,6,6,6,6,1,4.8125,5.15625,6
"65","md",7,7,3,3,5,4,5,6,3,5,3,5,3,5,5,4,6,5,3,5,6,5,4,3,3,5,6,5,2,5,3,3,6,6,6,5,7,7,7,NA,6,6,5,6,5,5,6,6,6,5,3,5,6,6,6,5,6,6,5,6,3,5,5,5,5,5,6,6,6,5,5,5,2,4.4375,5.51612903225806,5
"66","md",7,7,4,1,5,1,7,7,1,7,7,4,1,7,3,4,7,5,1,7,7,1,1,1,1,1,1,7,4,4,5,5,1,1,1,1,1,1,1,2,7,5,7,3,7,4,7,7,5,7,7,5,1,7,4,5,7,7,4,7,6,1,1,1,1,1,1,7,3,7,3,3,NA,4.09375,4.09375,5.28571428571429
"69","md",7,4,4,5,6,4,4,5,5,5,4,7,5,7,7,7,7,4,4,5,5,5,4,4,3,7,6,7,7,7,7,7,5,6,4,6,5,5,4,2,3,3,3,3,3,3,3,4,4,4,4,5,3,5,4,4,6,5,3,3,4,2,1,1,1,1,2,6,7,7,7,7,2,5.46875,3.625,5.42857142857143
"70","md",7,6,4,5,3,3,6,5,5,6,3,6,2,3,1,1,5,4,4,2,4,2,2,2,2,2,2,6,5,5,5,5,5,5,5,6,5,6,6,2,5,3,4,5,3,3,7,7,4,7,6,7,7,7,7,3,7,2,5,3,5,4,3,2,2,2,2,7,5,5,5,5,2,3.84375,4.78125,5.57142857142857
"71","md",6,1,1,3,1,1,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,1,7,7,7,1,2,4,3,2,1,4,1,6,5,4,3,4,3,4,6,2,1,4,1,1,1,4,4,4,1,3,3,4,5,6,5,7,6,2,3.65625,3.375,4.42857142857143
"73","md",4,4,2,3,3,6,2,2,2,3,2,4,4,2,4,6,2,5,2,3,3,7,7,7,7,7,7,1,1,2,2,2,2,5,4,6,2,6,6,2,6,5,5,5,5,6,5,6,7,7,6,3,2,2,2,2,6,3,5,5,6,1,1,1,1,1,1,7,7,6,7,7,2,3.6875,4.1875,6.14285714285714
"74","md",7,5,7,7,7,7,5,6,7,6,6,4,4,5,5,5,7,6,5,7,6,3,3,1,1,3,5,5,7,6,7,7,7,7,6,7,7,7,7,2,5,4,6,6,6,5,7,7,7,7,6,7,7,7,7,7,7,4,6,5,5,1,3,2,1,3,1,6,6,7,7,7,2,5.375,5.5625,6.71428571428571
"75","md",7,7,7,6,6,6,7,7,6,7,7,6,3,6,5,2,7,5,5,5,5,1,1,1,1,1,1,7,5,5,6,6,5,5,5,6,6,6,6,2,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,2,4.90625,6.21875,6.14285714285714
"77","ms",6,6,2,2,7,2,2,4,2,4,6,4,1,5,5,2,7,4,6,4,7,1,1,1,2,3,1,6,2,2,2,4,7,7,4,6,7,7,3,NA,7,7,6,7,6,6,6,6,6,6,3,7,7,7,6,6,7,7,6,6,5,1,1,1,1,1,2,6,5,5,5,5,2,3.53125,5.41935483870968,5.28571428571429
"78","ms",7,5,4,5,6,5,7,6,5,5,5,5,4,5,5,5,7,6,5,6,5,5,5,5,4,4,4,5,6,6,5,5,6,6,5,6,6,6,5,1,4,7,1,1,4,1,4,7,1,4,4,4,1,4,1,4,4,1,1,4,4,1,4,6,4,4,4,7,1,1,1,1,2,5.21875,3.625,2.28571428571429
"81","ms",6,5,3,5,5,3,6,6,6,6,5,2,1,5,2,1,4,3,3,2,4,5,2,2,4,5,2,4,6,6,7,6,6,7,2,4,6,7,3,1,7,7,5,4,6,7,7,5,5,7,6,7,4,6,5,4,6,5,5,6,5,1,1,1,1,1,1,7,5,5,6,6,2,4.125,4.78125,5.85714285714286
"82","ms",7,5,5,5,7,6,7,7,7,7,7,7,4,5,5,4,7,2,4,3,1,1,1,1,1,1,4,7,5,7,5,7,3,3,5,4,3,3,4,1,5,5,3,2,6,3,5,5,2,5,3,5,2,5,2,4,5,5,3,5,4,1,1,1,1,1,1,6,5,5,5,5,2,4.75,3.46875,4.28571428571429
"83","fd",7,7,7,3,6,5,2,2,2,2,1,4,2,3,4,4,5,5,4,5,4,4,4,5,5,2,4,6,2,6,6,5,NA,NA,NA,NA,2,2,2,2,6,6,2,2,2,1,2,3,2,3,3,4,1,1,1,1,6,4,6,5,4,3,6,6,6,5,5,5,2,2,4,4,1,4.15625,3.24137931034483,2.85714285714286
"85","fd",7,6,4,4,4,2,2,4,2,4,4,3,1,5,5,2,7,4,3,3,4,4,2,2,2,2,2,5,3,5,5,2,1,4,1,1,1,1,1,NA,1,7,1,1,5,1,4,4,1,4,2,1,1,1,1,3,4,4,2,3,3,4,3,2,1,2,3,2,2,4,3,3,1,3.5625,2.35483870967742,2.42857142857143
"86","fs",6,6,4,1,1,1,4,4,1,1,5,1,1,1,1,1,6,4,5,4,6,1,1,1,1,1,1,2,4,4,6,3,2,2,2,2,1,1,1,1,6,6,7,7,5,6,6,6,5,4,4,4,4,4,5,5,3,3,3,3,5,4,4,4,4,4,5,5,5,4,4,4,1,2.78125,3.96875,4.28571428571429
"87","fs",7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,6,6,4,6,7,1,4,3,3,2,2,2,2,5,3,4,5,4,3,4,3,3,6,4,4,4,4,2,2,2,2,2,2,5,3,3,3,3,1,6.0625,3.6875,3.57142857142857
"90","md",7,4,3,5,1,1,3,4,5,6,6,7,7,2,7,7,6,5,2,2,2,3,3,2,2,1,3,7,7,7,7,7,7,7,1,7,6,7,1,2,6,1,2,4,4,2,6,7,4,5,5,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,5,3,6,6,6,2,4.40625,3.78125,5.14285714285714
"91","md",7,5,5,4,5,5,6,6,3,6,6,7,7,7,5,7,6,6,6,6,7,2,2,2,2,2,2,6,6,7,6,7,7,7,4,7,7,7,4,2,2,1,2,2,2,2,3,2,2,3,2,7,6,6,3,5,7,3,3,3,5,1,1,1,1,1,1,6,4,4,6,6,2,5.1875,3.53125,4
"92","md",7,6,6,7,6,6,6,6,5,6,3,6,6,6,5,5,5,4,3,3,3,2,3,2,2,2,2,4,2,2,2,2,6,6,4,6,6,6,4,2,7,5,7,5,4,2,3,3,2,5,1,7,7,7,5,5,7,7,2,4,6,2,2,2,2,6,3,7,4,4,6,4,2,4.21875,4.46875,3.85714285714286
"93","md",5,7,2,2,6,5,5,5,2,7,7,7,4,7,7,7,7,5,1,7,7,5,6,1,5,4,7,6,5,7,6,5,7,6,6,6,7,7,6,2,6,6,4,4,6,6,5,6,4,6,5,6,6,7,6,6,6,5,4,6,6,4,5,4,4,4,5,5,4,5,5,5,2,5.28125,5.40625,5
"94","md",7,2,4,6,5,6,7,6,5,6,5,7,7,7,7,6,7,2,4,5,3,4,3,1,5,2,1,6,4,5,6,7,6,1,2,2,3,2,2,2,7,7,7,7,7,7,7,7,7,7,5,7,7,7,4,4,5,5,5,5,2,1,1,1,7,1,1,6,3,4,6,5,2,4.9375,4.6875,5.42857142857143
"95","md",4,2,1,2,2,1,5,5,3,5,6,3,1,4,4,2,4,4,3,3,7,1,1,1,1,1,1,5,2,5,5,2,3,6,4,5,4,7,4,2,7,2,4,5,7,2,7,7,5,7,7,7,5,6,4,6,7,3,3,3,2,1,1,1,1,1,1,5,3,6,3,3,2,3,4.4375,5.42857142857143
"96","md",6,6,6,6,6,6,6,6,6,6,4,4,1,4,4,2,7,7,5,6,4,6,4,3,6,5,4,6,6,6,6,6,3,5,1,2,1,1,1,2,6,5,5,5,5,5,6,6,4,5,6,4,4,4,4,4,6,5,5,5,6,2,2,2,2,2,2,3,3,3,3,3,2,5.1875,3.9375,4
"97","md",7,4,4,4,6,2,5,5,5,6,4,1,1,3,1,1,1,1,1,1,1,2,2,1,1,1,1,6,2,5,3,2,1,1,1,1,1,1,1,2,7,4,4,3,4,4,7,7,7,7,7,3,1,5,1,3,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,5,2,2.8125,2.84375,6.14285714285714
"98","md",7,7,4,1,7,4,6,7,5,7,5,7,5,7,7,1,6,6,6,6,6,NA,2,3,4,3,5,7,7,7,7,7,6,4,4,5,2,4,3,2,7,5,6,2,7,6,7,7,7,7,7,7,1,7,4,5,7,2,4,6,3,1,1,1,1,1,1,7,7,7,7,7,2,5.45161290322581,4.4375,7
"99","md",7,7,7,6,7,7,7,7,6,7,5,7,1,7,6,7,7,7,7,7,6,1,3,3,2,1,4,7,6,5,6,5,4,4,4,4,1,1,1,2,7,7,6,6,7,7,7,7,7,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,2,5.5625,5.6875,7
"100","md",2,4,3,4,3,4,3,4,3,3,3,4,5,6,6,6,4,4,3,5,3,7,6,7,7,7,7,1,3,2,2,3,3,6,7,6,5,7,7,NA,7,6,7,6,7,7,7,7,7,7,7,7,6,6,7,6,7,7,7,7,2,6,5,3,NA,5,4,7,7,7,7,7,2,4.1875,6.3,7
"101","md",7,6,6,6,5,5,6,6,5,5,6,5,5,5,5,5,6,6,5,5,3,6,4,5,5,5,5,6,5,5,5,5,5,5,4,5,4,5,5,2,7,6,6,6,5,5,7,7,7,6,2,7,7,7,7,7,6,6,6,6,6,4,4,5,5,5,5,7,7,7,7,7,2,5.28125,5.53125,6.14285714285714
"103","ms",7,6,5,4,6,5,6,6,5,7,4,5,2,4,4,4,6,5,5,5,6,4,4,4,5,NA,5,6,5,5,5,4,4,5,4,4,4,4,4,1,7,7,7,7,7,NA,7,7,7,7,5,7,7,7,7,7,4,1,4,4,7,1,1,7,5,1,3,7,1,7,7,7,2,4.96774193548387,5.25806451612903,5.85714285714286
"104","ms",7,5,5,6,5,6,6,5,5,5,3,7,5,6,6,5,7,6,5,5,7,3,3,4,4,4,5,5,6,5,5,4,1,1,2,2,1,1,1,1,6,6,5,5,5,5,6,5,5,5,4,4,4,4,4,3,6,5,5,5,6,4,4,4,4,4,5,4,4,2,3,4,2,5.15625,4,4
"105","ms",7,6,6,6,6,6,6,6,6,6,6,3,1,3,3,2,4,4,5,5,6,1,1,1,1,1,1,6,6,6,6,6,5,5,5,5,2,4,4,1,6,6,6,7,7,6,6,6,6,6,6,7,7,7,6,7,5,5,4,4,7,1,1,1,1,1,1,6,6,6,6,6,2,4.34375,4.90625,6.14285714285714
"106","ms",7,6,4,4,6,4,4,5,5,4,4,4,1,4,1,2,5,4,6,4,5,1,1,1,1,1,1,5,3,6,4,5,5,5,2,4,1,4,2,1,5,4,4,4,5,4,5,5,4,5,3,5,6,5,4,5,6,4,4,4,4,2,2,2,4,2,2,5,5,5,5,5,2,3.6875,3.875,4.57142857142857
"107","ms",3,5,3,4,7,4,6,5,6,7,4,5,5,6,3,5,7,6,4,4,7,4,4,2,1,1,5,6,2,1,1,3,3,4,3,5,4,4,5,1,4,5,3,3,5,4,6,7,5,7,5,5,4,6,4,5,7,6,4,6,5,2,4,3,2,1,3,7,3,4,4,4,2,4.25,4.46875,4.71428571428571
"108","ms",5,5,5,4,4,4,5,5,4,4,3,6,4,6,6,4,6,3,4,4,1,2,2,2,2,2,2,5,6,6,6,6,5,4,4,4,1,1,1,1,7,3,1,4,3,3,3,2,2,3,2,3,6,3,2,1,4,3,7,3,5,2,2,2,2,3,3,7,7,7,7,7,2,4.15625,2.9375,4.42857142857143
"109","ms",7,7,6,5,5,5,6,7,4,6,6,4,3,7,6,6,6,6,7,7,6,5,5,6,6,6,5,6,6,7,6,6,6,5,6,6,6,5,6,1,6,4,3,3,5,4,6,6,5,5,4,3,1,5,3,2,6,3,3,5,2,2,2,2,2,3,2,5,5,6,5,4,2,5.8125,3.96875,4.57142857142857
"110","fd",4,1,1,3,4,1,3,2,2,3,2,5,2,4,6,4,5,4,5,4,7,1,1,1,4,5,1,4,2,1,1,3,1,3,1,4,1,2,2,2,4,4,3,3,4,3,4,3,3,4,3,4,2,3,3,3,5,5,4,4,2,3,3,3,2,2,4,6,2,2,2,4,1,3,3.09375,3.14285714285714
"111","md",6,4,7,7,6,5,5,6,6,5,5,4,1,6,2,4,3,4,3,3,1,1,1,2,1,2,1,5,5,7,7,6,6,5,5,7,6,5,7,2,7,4,6,4,2,2,2,6,5,4,3,5,1,1,1,2,7,3,1,2,4,1,1,1,1,1,1,5,4,5,5,6,2,4.09375,3.53125,4.57142857142857
"112","md",7,4,7,7,7,7,3,2,4,2,1,5,1,4,7,6,4,2,2,3,6,1,1,1,1,4,1,5,5,5,5,4,4,4,4,4,4,4,4,2,1,1,5,3,1,5,7,7,7,7,4,1,1,1,2,1,1,1,5,5,7,1,2,1,2,5,1,5,1,3,3,4,2,3.875,3.28125,3.85714285714286
"113","md",7,7,7,5,7,7,7,7,7,7,7,5,4,5,5,5,6,6,6,6,3,5,5,5,5,5,6,7,7,7,7,6,4,5,5,5,4,4,4,2,5,2,4,1,5,3,6,7,5,7,5,6,6,6,7,7,5,3,3,4,6,5,2,2,5,6,4,6,5,4,5,2,2,5.96875,4.5625,4.85714285714286
"114","md",7,5,6,7,7,6,4,4,3,4,2,7,7,7,7,7,6,3,4,3,5,7,3,3,6,7,7,7,7,6,7,7,6,6,4,6,6,6,3,2,1,1,7,7,7,6,7,4,4,1,4,4,7,7,4,4,7,6,7,4,4,1,1,1,1,1,1,7,7,7,7,6,2,5.5625,4.375,4.71428571428571
"116","ms",6,5,6,6,6,4,5,5,4,5,5,5,2,3,3,3,5,4,5,5,5,4,4,4,2,4,5,5,5,6,7,6,5,5,5,5,5,5,5,1,5,5,5,2,5,3,5,5,4,4,4,4,2,4,2,4,5,5,5,5,4,3,3,2,2,2,2,5,5,5,5,5,2,4.65625,4,4.42857142857143
